# gRPC Connection Pool — RWMutex vs atomic.Pointer Benchmark Comparison
# Date: 2026-05-06
# Branch: feature-grpc-connection-pooling-testing-mutex-atomic
# GOMAXPROCS: 48  |  benchtime: 1s
#
# Design A (CURRENT):  sync.RWMutex — readers share RLock, writers take Lock
# Design B (PROPOSED): atomic.Pointer[[]T] copy-on-write — reads are lock-free,
#                       writes use a write-only mutex + slice copy (rare path)
#
# Columns: name  iterations  ns/op  B/op  allocs/op  description  comparison
#
BenchmarkPickConnRWMutex_Serial/conns=1-48         	166406635	         6.879 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 3.8x faster
BenchmarkPickConnRWMutex_Serial/conns=2-48         	128395623	         8.758 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 2.8x faster
BenchmarkPickConnRWMutex_Serial/conns=4-48         	109640440	        12.60 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 2.5x faster
BenchmarkPickConnRWMutex_Serial/conns=8-48         	75474502	        18.09 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 1.8x faster
BenchmarkPickConnRWMutex_Serial/conns=16-48        	37751047	        28.43 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 1.8x faster
BenchmarkPickConnRWMutex_Serial/conns=32-48        	22705390	        44.35 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn serial: RLock/scan/RUnlock on every call — ~5 ns mutex overhead even with no contention	atomic is 1.4x faster
BenchmarkPickConnAtomic_Serial/conns=1-48          	880993128	         1.805 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	3.8x faster than RWMutex
BenchmarkPickConnAtomic_Serial/conns=2-48          	352302859	         3.107 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	2.8x faster than RWMutex
BenchmarkPickConnAtomic_Serial/conns=4-48          	244166539	         5.125 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	2.5x faster than RWMutex
BenchmarkPickConnAtomic_Serial/conns=8-48          	100000000	        10.15 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	1.8x faster than RWMutex
BenchmarkPickConnAtomic_Serial/conns=16-48         	71552480	        16.00 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	1.8x faster than RWMutex
BenchmarkPickConnAtomic_Serial/conns=32-48         	47868920	        31.13 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn serial: single atomic.Pointer.Load() then scan — no mutex, no cache-line bounce	1.4x faster than RWMutex
BenchmarkPickConnRWMutex_Parallel/conns=1-48       	26168473	        45.85 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 535.1x faster
BenchmarkPickConnRWMutex_Parallel/conns=2-48       	25452019	        46.82 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 338.5x faster
BenchmarkPickConnRWMutex_Parallel/conns=4-48       	23898628	        52.57 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 59.0x faster
BenchmarkPickConnRWMutex_Parallel/conns=8-48       	23155600	        52.32 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 140.0x faster
BenchmarkPickConnRWMutex_Parallel/conns=16-48      	24830384	        49.89 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 72.9x faster
BenchmarkPickConnRWMutex_Parallel/conns=32-48      	27453492	        46.94 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn under 48 goroutines: all goroutines update mutex reader-count → cache-line thrash	atomic is 32.7x faster
BenchmarkPickConnAtomic_Parallel/conns=1-48        	1000000000	         0.08568 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	535.1x faster than RWMutex
BenchmarkPickConnAtomic_Parallel/conns=2-48        	1000000000	         0.1383 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	338.5x faster than RWMutex
BenchmarkPickConnAtomic_Parallel/conns=4-48        	1000000000	         0.8906 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	59.0x faster than RWMutex
BenchmarkPickConnAtomic_Parallel/conns=8-48        	1000000000	         0.3737 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	140.0x faster than RWMutex
BenchmarkPickConnAtomic_Parallel/conns=16-48       	1000000000	         0.6846 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	72.9x faster than RWMutex
BenchmarkPickConnAtomic_Parallel/conns=32-48       	879092666	         1.434 ns/op	       0 B/op	       0 allocs/op	PROPOSED | pickConn under 48 goroutines: each goroutine reads its own cache copy — zero shared mutable state	32.7x faster than RWMutex
BenchmarkPickConnRWMutex_WithWriter/conns=1-48     	19981155	        59.54 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn with background writer (scale-up event): writer holds Lock → stalls ALL readers until released	atomic is 255.8x faster
BenchmarkPickConnRWMutex_WithWriter/conns=2-48     	16208809	        72.71 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn with background writer (scale-up event): writer holds Lock → stalls ALL readers until released	atomic is 156.2x faster
BenchmarkPickConnRWMutex_WithWriter/conns=4-48     	12968055	        88.09 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn with background writer (scale-up event): writer holds Lock → stalls ALL readers until released	atomic is 120.3x faster
BenchmarkPickConnRWMutex_WithWriter/conns=8-48     	11474888	       102.7 ns/op	       0 B/op	       0 allocs/op	CURRENT  | pickConn with background writer (scale-up event): writer holds Lock → stalls ALL readers until released	atomic is 83.1x faster
